Мужчина	Hombre	Mushi	Muzhchina	
женщина	Mujer		zhenshchina	
мальчик	Niño		mal'chik	
папа	Papá		papa	
Мама	Mamá		Mama	
человек	Humano	che guevara/Че Гевара	chelovek	
яблоко	Manzana	Yale(Universidad/Cerradura)	yabloko	
Извините	Disculpe	Isis /Izida/	Izvinite	Deshacer un error
Пока	Adiós	Packing /ˈpæk·ɪŋ/	Poka	
нет	No	ñe	net	
спасибо	Gracias	spam	spasibo	
Привет	Hola	Privado	Privet	
где	Donde		gde	
площадь	La plaza	Plomo/Chad	ploshchad'	
Пожалуйста.	Por favor	Pasacalle	Pozhaluysta.	
борщ	Borsch 		borshch	sopa
да 	Yes	dance  /dɑːns/	da	Afirmativo
