борщ	borsch 		borshch	sopa
где	donde		gde	
да 	yes	dance  /dɑːns/	da	afirmativo
женщина	mujer		zhenshchina	
извините	disculpe	isis /izida/	izvinite	deshacer un error
мальчик	niño		mal'chik	
мама	mamá		mama	
мужчина	hombre	mushi	muzhchina	
нет	no	ñe	net	
папа	papá		papa	
площадь	la plaza	plomo/chad	ploshchad'	
пожалуйста.	por favor	pasacalle	pozhaluysta.	
пока	adiós	packing /ˈpæk·ɪŋ/	poka	
привет	hola	privado	privet	
спасибо	gracias	spam	spasibo	
человек	humano	che guevara/че гевара	chelovek	
яблоко	manzana	yale(universidad/cerradura)	yabloko	
